item,price
蔬菜/豆腐/鸡/猪 Veggie/Tofu/Chicken/Pork,header
86. 上汤青菜 Braised Vegetable in Broth,13.95
87. 香辣豆腐 Tofu in Spicy Sauce,15.95
88. 冬菇炒青江菜 Black Muchroom with Baby Bok Choy,14.95
89. 萝卜干叉烧煎蛋 BBQ Pork Fried Egg with Pickled Radish,14.95
90. 左宗鸡 General Tso's Chicken,12.95
91. 干烧土豆鸡 Dry-Braised Chicken with Potato & Chili,16.95
92. 干锅鸡 Griddle Cooked Chicken,16.95
93. 干锅鸡胗 Griddle Cooked Chicken Gizzards,16.95
94. 泰式香辣鸡 Suateed Spicy Chicken in Thai Sauce,14.95
95. 榨菜肉丝 Shredded Pork with Preserved Vegetable,14.95
96. 糖醋猪扒 Sweet & Sour Sparerib,14.95
97.西芹炒猪肚 Pig Tripe with Celery,16.95
98. 葱爆猪肚 Pig Tripe with Fried Scallions,16.95
99. 酸菜猪肚 Pig Tripe with Preserved Vegetable,16.95
100.沙姜猪肚 Pig Tripe in Zedoary Sauce,16.95
101. 美极猪肚 Pig Tripe with Onion in Buttery Soy Sauce,16.95
102. 铁板猪肚 Sizzling Pig Tripe,16.95
103. 麻辣猪肚 Pig Tripe with Chili & Pepper,16.95
104. 干锅猪肚 Griddle Cooked Pig Tripe,16.95
海鲜类 Seafood,header
105.糖醋鱼片 Fried Fish Fillet with Sweet & Sour Sauce,16.95
106. 咖喱包心鱼丸 Fish Balls with Curry Sauce,16.95
107. 干锅包心鱼丸 Griddle Cooked Fish Balls,16.95
108. 水煮包心鱼丸 Poached Fish Balls in Spicy Broth,16.95
109. 香酥鱼片 Fired Fish Fillets with Dried Chili,16.95
110. 姜葱鱼片 Fish Fillet with Ginger & Scallion,16.95
111. 泰式三味鱼 Thai Style Fried Fish Fillet,16.95
112. 酸菜鱼 Fish Fillet with Pickled Vegetable Soup,16.95
113. 沸腾鱼片 Fish Fillet in Chili Oil,17.95
114. 清蒸龙利鱼 Steamed Whole Swai Fish,Market Price
115. 虾仁煎蛋 Pan Fried Egg with shrimp,14.95
116. 宫保虾 Kung Pao Shrimp,15.95
117. 西兰花炒虾球 Chinese Style Shrimp with Broccoli,15.95
118. 番茄虾球 Shrimp with tomato,15.95
119. 辣子大虾 Jumbo Shrimp with Dried Chili,16.95
120. 核桃虾 Walnut Jumbo  Shrimp,16.95
121. 葱爆大虾 Jumbo Shrimp with Fried Scallion,16.95
122. 干锅虾 Griddle Cooked Jumbo Shrimp,16.95
123. 白灼虾 Scalded Shrimp,16.95
124. 西芹炒鲜鱿 Squid with Celery,16.95
125. 香辣鲜鱿 Spicy Sauteed Squid,16.95
126. 美极鲜鱿 Squid with Onion in Buttery Soy Sauce,16.95
127. 宫保鱿鱼 Kung Pao Squid,16.95
128. 辣子鱿鱼 Squid with Dried Chili,16.95
129. 姜葱墨鱼仔 Cuttlefish with Ginger & Scallion,17.95
130. 咖喱墨鱼仔 Cuttlefish with Curry Sauce,17.95
131. 铁板黑椒鱿鱼 Sizzling Squid with Black Pepper,16.95
132. 水煮墨鱼仔 Poached Cuttlefish in Spicy Broth,17.95
